# тема: поступление и предметы
"Разрешен ли спортивный костюм на занятиях?", "Только на уроках физической культуры. Информация на [страница документ о внешнем виде]"
"Можно ли носить рубашки с коротким рукавом летом?", "Да, рубашки с короткими рукавами разрешены. Правила на [страница документ о внешнем виде]"
"Какие юбки запрещены?", "Слишком короткие юбки и с большим разрезом. Подробности на [страница документ о внешнем виде]"
"Разрешаются ли блузки с бантами?", "Да, для торжественных мероприятий. Требования на [страница документ о внешнем виде]"
"Можно ли носить одежду в клетку?", "Одежда без ярко выраженной клетки. Информация на [страница документ о внешнем виде]"
"Какие пиджаки можно носить?", "Пиджаки нейтральных цветов или неярких оттенков. Правила на [страница документ о внешнем виде]"
"Разрешен ли маникюр с дизайном?", "Сдержанный маникюр без ярких элементов. Подробности на [страница документ о внешнем виде]"
"Какие требования к маникюру?", "Длина не должна мещать учебному процессу, а цвет не слишком яркий. Подробно изучите тут [страница документ о внешнем виде]"
"Можно ли носить куртки с капюшоном?", "Нет, одежда с капюшоном запрещена. Требования на [страница документ о внешнем виде]"
"Какие сарафаны разрешены?", "Сарафаны классического стиля соответствующей длины. Информация на [страница документ о внешнем виде]"
"Разрешаются ли рубашки поло для юношей?", "Нет, футболки поло не разрешены. Правила на [страница документ о внешнем виде]"
"Можно ли носить одежду с стразами?", "Вызывающие детали в одежде исключены. Подробности на [страница документ о внешнем виде]"
"Какие брюки можно носить девушкам?", "Брюки классического стиля. Требования на [страница документ о внешнем виде]"
"Разрешен ли парфюм с резким запахом?", "Умеренность во всем, включая парфюм. Информация на [страница документ о внешнем виде]"
"Можно ли носить одежду в полоску?", "Одежда без ярко выраженных полосок. Правила на [страница документ о внешнем виде]"
"Какие джемперы можно носить?", "Джемперы сочетающейся цветовой гаммы. Подробности на [страница документ о внешнем виде]"
"Разрешаются ли блузки с воротником стойкой?", "Да, если соответствуют деловому стилю. Требования на [страница документ о внешнем виде]"
"Можно ли носить короткие куртки?", "Куртки только как специальная одежда на практике. Информация на [страница документ о внешнем виде]"
"Какие ремни можно носить?", "Поясные ремни как аксессуар делового стиля. Правила на [страница документ о внешнем виде]"
"Можно с крашеными волосами?", "Желательно что бы волосы имели свой родной цвет, запрещены яркие цвета волос. Правила на [страница документ о внешнем виде]"
"Разрешен ли ажур на одежде?", "Умеренность в деталях и аксессуарах. Подробности на [страница документ о внешнем виде]"
"Можно ли носить одежду с пайетками?", "Нет, вызывающие детали исключены. Требования на [страница документ о внешнем виде]"
"Какие кофты можно носить?", "В холодное время свитеры, пуловеры, джемперы. Информация на [страница документ о внешнем виде]"
"Разрешаются ли рубашки с коротким рукавом у девушек?", "Да, блузки с короткими рукавами разрешены. Правила на [страница документ о внешнем виде]"
"Можно ли носить юбки-карандаш?", "Да, если соответствуют требованиям по длине. Подробности на [страница документ о внешнем виде]"
"Какие головные уборы запрещены?", "Головные уборы не делового стиля. Требования на [страница документ о внешнем виде]"
"Разрешен ли гель для волос яркого цвета?", "Нет, волосы должны иметь естественный вид. Информация на [страница документ о внешнем виде]"
"Можно ли носить одежду с логотипами?", "Умеренные логотипы без provocative содержания. Правила на [страница документ о внешнем виде]"
"Какие платья запрещены?", "Платья не классического стиля и неподходящей длины. Подробности на [страница документ о внешнем виде]"
"Разрешаются ли рубашки с нагрудным карманом?", "Да, если соответствуют деловому стилю. Требования на [страница документ о внешнем виде]"
"Можно ли носить одежду в стиле унисекс?", "Только соответствующие полу модели делового стиля. Информация на [страница документ о внешнем виде]"
"Какие сапоги можно носить?", "Классическая обувь соответствующая сезону. Правила на [страница документ о внешнем виде]"
"Разрешен ли макияж с блестками?", "Яркий макияж не допускается. Подробности на [страница документ о внешнем виде]"
"Можно ли носить одежду с заплатками?", "Одежда должна быть опрятной и целой. Требования на [страница документ о внешнем виде]"
"Какие блузки можно носить летом?", "Блузки без просвечивания и открытых участков. Информация на [страница документ о внешнем виде]"
"Разрешаются ли рубашки с коротким рукавом для юношей?", "Да, рубашки с короткими рукавами разрешены. Правила на [страница документ о внешнем виде]"
"Можно ли носить юбки?", "Можно, но юбка не должна превышать 10 см от колена. Подробности на [страница документ о внешнем виде]"
"Какие ограниченничения у юбок?", "Юбка не должна превышать 10 см от колена. Это указано в документе [страница документ о внешнем виде]"
"Какие свитеры запрещены?", "Яркие свитеры с вызывающими деталями. Требования на [страница документ о внешнем виде]"
"Разрешен ли пирсинг в носу?", "Нет, пирсинг на открытых частях тела запрещен. Информация на [страница документ о внешнем виде]"
"Можно ли носить одежду с национальной символикой?", "Одежда с provocative символикой запрещена. Правила на [страница документ о внешнем виде]"
"Какие брюки можно носить на практике?", "Специальные брюки предоставляемые техникумом. Подробности на [страница документ о внешнем виде]"
"Можно ли заходить в аудиторию в куртке?", "Нет, верхняя одежда должна оставаться в гардеробе. Подробнее на [страница документ о внешнем виде]"
"Что будет если прийти на пару в зимней куртке?", "Преподаватель может отправить вас сдать куртку в гардероб техникума"
"Разрешается ли носить шапку в коридорах техникума?", "Нет, головные уборы не делового стиля запрещены во всех помещениях"
"Можно ли находиться в аудитории в пуховике?", "Нет, верхняя одежда должна храниться в гардеробе"
"Что делать с верхней одеждой в холодное время?", "Всю верхнюю одежду необходимо сдавать в гардероб техникума"
"Разрешен ли шарф в учебных помещениях?", "Шарф как элемент верхней одежды не предназначен для ношения в аудиториях"
"Можно ли оставить куртку в аудитории?", "Нет, всю верхнюю одежду необходимо сдавать в гардероб"
"Что если я опоздал и сразу пришел в куртке на пару?", "Вам будет предложено снять куртку и сдать ее в гардероб"
"Разрешается ли носить ветровку в техникуме?", "Ветровка как верхняя одежда должна оставаться в гардеробе"
"Можно ли находиться в библиотеке в пальто?", "Нет, во всех учебных помещениях верхняя одежда запрещена"
"Что делать с головным убором зимой?", "Шапки и другие головные уборы необходимо снимать при входе в техникум"
"Разрешен ли плащ в аудитории?", "Нет, плащ относится к верхней одежде и должен быть в гардеробе"
"Можно ли носить куртку в рукавах на перемене?", "Нет, верхняя одежда должна храниться только в гардеробе"
"Что если холодно в аудитории?", "В холодное время можно носить свитеры и пуловеры, но не верхнюю одежду"
"Разрешается ли находиться в холле в верхней одежде?", "Нет, во всех помещениях техникума верхняя одежда запрещена"

# тема: специальности и поступление
"Какие специальности есть после 9 класса?", "Всю информацию о специальностях можно найти на [страница абитурентов]"
"На какие направления можно поступить после 9 классов?", "Полный перечень направлений обучения доступен на [страница абитурентов]"
"Какие профессии можно получить в вашем техникуме?", "Со списком профессий и специальностей можно ознакомиться на [страница абитурентов]"
"Есть ли у вас заочное обучение после 9 класса?", "Информация о заочной форме обучения размещена на [страница для абитурентов заочное]"
"Какие программы подготовки вы предлагаете?", "Все образовательные программы представлены на [страница абитурентов]"
"Можно ли поступить к вам после основной школы?", "Да, вся информация для поступающих после 9 класса на [страница абитурентов]"
"Какие технические специальности у вас есть?", "Перечень технических специальностей смотрите на [страница абитурентов]"
"Есть ли у вас гуманитарные направления?", "Со всеми направлениями подготовки можно ознакомиться на [страница абитурентов]"
"На какие специальности самый большой набор?", "Актуальная информация о наборе доступна на [страница абитурентов]"
"Какие есть бюджетные места после 9 класса?", "Информация о бюджетных местах размещена на [страница абитурентов]"
"Можно ли учиться заочно после 9 классов?", "Подробности о заочной форме обучения на [страница для абитурентов заочное]"
"Какие документы нужны для поступления?", "Полный перечень документов смотрите на [страница абитурентов]"
"Есть ли у вас творческие специальности?", "Со всеми доступными специальностями можно ознакомиться на [страница абитурентов]"
"Какие сроки обучения после 9 класса?", "Информация о сроках обучения по каждой специальности на [страница абитурентов]"
"Можно ли поступить на платное обучение?", "Условия платного обучения размещены на [страница абитурентов]"
"Какие вступительные испытания требуются?", "Информация о вступительных испытаниях доступна на [страница абитурентов]"
"Есть ли у вас общежитие для иногородних?", "Информация о наличии общежития на [страница абитурентов]"
"Какие специальности самые популярные?", "Со статистикой и популярными направлениями можно ознакомиться на [страница абитурентов]"
"Есть ли у вас военная кафедра?", "Всю информацию о специальностях и дополнительных возможностях смотрите на [страница абитурентов]"
"Какие перспективы трудоустройства после обучения?", "Информация о трудоустройстве выпускников на [страница абитурентов]"
"Можно ли получить два образования одновременно?", "Подробности о образовательных программах на [страница абитурентов]"
"Есть ли подготовительные курсы?", "Информация о подготовительных курсах размещена на [страница абитурентов]"
"Какие специальности для девушек у вас есть?", "Все специальности доступны для ознакомления на [страница абитурентов]"
"Можно ли поступить после 9 класса на заочное?", "Да, информация о заочной форме обучения на [страница для абитурентов заочное]"
"Какие документы об образовании вы выдаете?", "Информация о выдаваемых документах на [страница абитурентов]"
"Есть ли у вас международные программы?", "Со всеми образовательными программами можно ознакомиться на [страница абитурентов]"
"Какие специальности требуют медсправку?", "Перечень требований к поступающим на [страница абитурентов]"
"Можно ли учиться дистанционно?", "Информация о формах обучения доступна на [страница абитурентов]"
"Какие бюджетные специальности после 9 класса?", "Актуальный список бюджетных специальностей на [страница абитурентов]"
"Есть ли у вас программы для спортсменов?", "Со всеми специальностями и условиями обучения можно ознакомиться на [страница абитурентов]"
"Какие вступительные экзамены нужно сдавать?", "Полная информация о вступительных испытаниях на [страница абитурентов]"
"Можно ли поступить на заочное без экзаменов?", "Условия поступления на заочную форму на [страница для абитурентов заочное]"
"Какие специальности с коротким сроком обучения?", "Информация о сроках обучения по специальностям на [страница абитурентов]"
"Есть ли у вас программы повышения квалификации?", "Со всеми образовательными программами можно ознакомиться на [страница абитурентов]"
"Какие документы нужны для заочного обучения?", "Перечень документов для заочной формы на [страница для абитурентов заочное]"
"Можно ли поступить после 9 класса на вечернее?", "Информация о всех формах обучения доступна на [страница абитурентов]"
"Какие специальности самые востребованные?", "Со списком востребованных специальностей можно ознакомиться на [страница абитурентов]"
"Есть ли у вас программы с практикой за рубежом?", "Подробности о всех образовательных программах на [страница абитурентов]"

# тема: отчисление
"Как можно отчислиться в этом месяце?", "Для отчисления необходимо обратиться на своё отделение."
"Куда нужно подойти для отчисления?", "Вам нужно обратиться на ваше отделение для оформления отчисления."
"Можно ли отчислиться в текущем месяце?", "Да, для этого обратитесь на своё отделение."
"К кому обращаться по вопросу отчисления?", "Для отчисления необходимо обратиться к заведующей вашего отделения."
"Какой порядок отчисления из техникума?", "Порядок отчисления осуществляется через обращение на ваше отделение."
"Куда идти для подачи заявления на отчисление?", "Подать заявление на отчисление можно на вашем отделении."
"Можно ли отчислиться в конце месяца?", "Да, для отчисления в любом месяце обратитесь на своё отделение."
"Кто занимается вопросами отчисления?", "Вопросами отчисления занимаются заведующие отделениями."
"Как быстро можно отчислиться?", "Для срочного отчисления обратитесь на своё отделение."
"Куда обратиться для отчисления с строительного отделения?", "Для отчисления со строительного отделения обратитесь к [заведующая строительным отделением] в кабинет [кабинет строительного отделения]."
"Где находится кабинет для отчисления?", "Кабинет для оформления отчисления зависит от вашего отделения."
"Нужны ли документы для отчисления?", "Для оформления отчисления обратитесь на своё отделение с документами."
"Как отчислиться с нефтяного отделения?", "Для отчисления с нефтяного отделения обратитесь к [заведующая нефтяным отделением] в кабинет [кабинет нефтяного отделения]."
"Можно ли отчислиться дистанционно?", "Нет, для отчисления необходимо лично обратиться на своё отделение."
"К кому подходить для отчисления на строительном отделении?", "На строительном отделении обратитесь к [заведующая строительным отделением] в [кабинет строительного отделения]."
"В какой кабинет идти для отчисления?", "Кабинет для отчисления зависит от вашего отделения."
"Какой график приема по вопросам отчисления?", "График приема уточняйте на вашем отделении."
"Можно ли отчислиться в начале месяца?", "Да, для отчисления в любом периоде обратитесь на своё отделение."
"Куда обращаться для отчисления с дневного отделения?", "Для отчисления обратитесь на ваше профильное отделение."
"Где находится нефтяное отделение?", "Нефтяное отделение находится в кабинете [кабинет нефтяного отделения], заведующая [заведующая нефтяным отделением]."
"Как найти заведующую для отчисления?", "Обратитесь на ваше отделение к заведующей соответствующего отделения."
"Можно ли отчислиться через деканат?", "Нет, отчисление осуществляется через ваше отделение."
"К кому обратиться на строительном отделении?", "На строительном отделении обратитесь к [заведующая строительным отделением] в [кабинет строительного отделения]."
"Какие сроки оформления отчисления?", "Сроки оформления уточняйте на вашем отделении."
"Где принимают заявления на отчисление?", "Заявления на отчисление принимаются на вашем отделении."
"Как отчислиться с заочного отделения?", "Для отчисления с заочного отделения обратитесь на ваше отделение."
"Куда идти если я с нефтяного отделения?", "С нефтяного отделения обратитесь к [заведующая нефтяным отделением] в [кабинет нефтяного отделения]."
"Можно ли отчислиться в середине семестра?", "Да, для отчисления в любой период обратитесь на своё отделение."
"Кто подписывает приказ об отчислении?", "Приказ об отчислении подписывает заведующая вашего отделения."
"Где находится кабинет строительного отделения?", "Кабинет строительного отделения [кабинет строительного отделения], заведующая [заведующая строительным отделением]."

# тема: автошкола
"Как записаться на обучение в автошколе?", "Для записи подойдите в кабинет [кабинет записи в автошколу]."
"Куда обращаться для записи в автошколу?", "Запись осуществляется в кабинете [кабинет записи в автошколу]."
"Где находится кабинет записи в автошколу?", "Кабинет записи находится в [кабинет записи в автошколу]."
"Можно ли записаться в автошколу онлайн?", "Нет, запись осуществляется лично в кабинете [кабинет записи в автошколу]."
"Кто руководитель автошколы?", "Руководитель автошколы [руководитель автошколы]."
"В какой кабинет подойти для автошколы?", "Для записи в автошколу подойдите в [кабинет записи в автошколу]."
"Как связаться с автошколой?", "С автошколой можно связаться по телефону [телефон автошколы]."
"Где можно узнать информацию об автошколе?", "Информация об автошколе доступна на [страница автошколы]."
"Куда идти чтобы записаться на вождение?", "Для записи на вождение подойдите в [кабинет записи в автошколу]."
"Какие документы нужны для автошколы?", "Для уточнения перечня документов подойдите в [кабинет записи в автошколу]."
"Можно ли позвонить для записи в автошколу?", "Запись осуществляется лично, но по телефону [телефон автошколы] можно уточнить информацию."
"Где кабинет руководителя автошколы?", "Кабинет руководителя автошколы [руководитель автошколы] находится в [кабинет руководителя автошколы]."
"Какой график работы автошколы?", "График работы уточняйте в кабинете [кабинет записи в автошколу] или по телефону [телефон автошколы]."
"Можно ли записаться через сайт автошколы?", "Нет, на [страница автошколы] только информация, запись лично в [кабинет записи в автошколу]."
"Кто принимает документы в автошколу?", "Документы принимают в кабинете [кабинет записи в автошколу]."
"Как найти автошколу в техникуме?", "Автошкола находится в кабинете [кабинет записи в автошколу]."
"Есть ли предварительная запись в автошколу?", "По всем вопросам записи обращайтесь в [кабинет записи в автошколу]."
"Можно ли обратиться к руководителю автошколы?", "Да, руководитель [руководитель автошколы] находится в кабинете [кабинет руководителя автошколы]."
"Как узнать о наличии свободных мест?", "Информацию о свободных местах уточняйте в [кабинет записи в автошколу]."
"Где посмотреть программы обучения автошколы?", "Программы обучения размещены на [страница автошколы]."
"Куда приносить заявление для автошколы?", "Заявление приносите в кабинет [кабинет записи в автошколу]."
"Где уточнить стоимость обучения?", "Стоимость обучения уточняйте в [кабинет записи в автошколу] или по телефону [телефон автошколы]."
"Какой телефон автошколы?", "Телефон автошколы: [телефон автошколы]."
"Куда обращаться по вопросам оплаты автошколы?", "По вопросам оплаты обращайтесь в [кабинет записи в автошколу]."
"Можно ли посмотреть классы автошколы?", "Информацию о классах можно узнать на [страница автошколы] или в [кабинет записи в автошколу]."
"Где заключается договор на обучение?", "Договор заключается в кабинете [кабинет записи в автошколу]."
"Куда подойти для консультации по автошколе?", "Для консультации подойдите в [кабинет записи в автошколу]."

# тема: расписание и смены
"Почему группы, которые должны учиться во второй смене, начинают с первой?", "Сменность в техникуме условная, занятия могут начинаться с любой пары в зависимости от загруженности аудиторий и преподавателей."
"Могут ли занятия начинаться не с первой пары?", "Да, расписание может меняться в зависимости от доступности аудиторий и преподавательского состава."
"Почему наше расписание не соответствует заявленной сменности?", "Сменность является условной, время начала занятий определяется текущей загрузкой аудиторного фонда и преподавателей."
"Может ли первая смена начаться позже обычного?", "Да, время начала занятий может варьироваться в зависимости от расписания аудиторий и преподавателей."
"Почему нас поставили на первое занятие, если мы вторая смена?", "Расписание формируется исходя из общей загруженности аудиторий и доступности преподавателей."
"Как формируется расписание занятий?", "Расписание составляется с учетом оптимальной загрузки аудиторного фонда и преподавательского состава."
"Может ли вторая смена начинаться с утра?", "Да, время начала занятий зависит от текущей загрузки аудиторий и расписания преподавателей."
"Почему смены не соблюдаются строго?", "Сменность является условной и может меняться для эффективного использования ресурсов техникума."
"Могут ли занятия начинаться не в стандартное время?", "Да, время начала пар может меняться в зависимости от расписания аудиторий и преподавателей."
"Почему наша группа учится в разное время?", "Расписание может варьироваться для обеспечения равномерной загрузки аудиторного фонда и преподавателей."
"Как определяется время начала занятий?", "Время начала занятий определяется исходя из загруженности аудиторий и доступности преподавателей."
"Может ли расписание меняться в течение семестра?", "Да, расписание может корректироваться в зависимости от изменения загрузки аудиторий и преподавателей."
"Почему мы иногда учимся утром, а иногда днем?", "Это связано с необходимостью оптимального распределения аудиторного фонда и преподавательского состава."
"Является ли сменность постоянной?", "Нет, сменность является условной и может меняться в зависимости от расписания."
"Могут ли обе смены начинаться в одно время?", "Время начала занятий определяется текущей загрузкой аудиторий и может варьироваться."
"Почему не соблюдается четкое разделение на смены?", "Гибкое расписание позволяет эффективно использовать аудиторный фонд и преподавательские ресурсы."
"Может ли группа учиться в смешанном режиме?", "Да, расписание может включать занятия в разное время суток для оптимальной загрузки."
"Почему расписание нестабильное?", "Расписание корректируется для обеспечения равномерной загрузки аудиторий и преподавателей."
"Как часто меняется расписание?", "Расписание может меняться по мере необходимости оптимизации использования ресурсов техникума."
"Могут ли занятия начинаться раньше первой пары?", "Время начала занятий определяется исходя из загруженности аудиторий и расписания преподавателей."
"Почему нет фиксированного времени начала смен?", "Гибкое расписание позволяет более эффективно использовать аудиторный фонд и преподавателей."
"Может ли вторая смена начинаться в 9 утра?", "Да, время начала занятий зависит от текущей загрузки аудиторий и расписания преподавателей."
"Почему наше время занятий постоянно меняется?", "Изменения в расписании связаны с необходимостью оптимального распределения ресурсов техникума."
"Как учитывается загруженность аудиторий?", "Расписание формируется с учетом равномерной нагрузки на аудиторный фонд и преподавательский состав."
"Могут ли занятия проходить в нестандартное время?", "Да, время проведения занятий может варьироваться для эффективного использования ресурсов."

# тема: возврат оплаты
"Возвращают ли деньги за обучение при отчислении?", "Да, возврат оплаты за необученный период осуществляется."
"Если я отчислюсь мне вернкуть деньги за учебу?", "Да, вам вернкут деьги за необученный период"
"Как вернуть деньги за оплаченное обучение?", "Для возврата средств обратитесь в бухгалтерию техникума."
"Если студент отчисляется, возвращаются ли деньги?", "Да, производится перерасчет и возврат средств."
"Куда обращаться для возврата оплаты за обучение?", "По вопросам возврата обращайтесь в бухгалтерию в кабинет [кабинет бухгалтерии]."
"Какой порядок возврата денег при отчислении?", "Необходимо обратиться в бухгалтерию для оформления возврата."
"Возвращаются ли средства за неполный семестр?", "Да, производится перерасчет за фактически необученный период."
"Кто занимается возвратом оплаты за обучение?", "Возвратом средств занимается бухгалтерия техникума."
"В какой срок возвращаются деньги?", "Сроки возврата уточняйте в бухгалтерии по телефону [телефон бухгалтерии]."
"Какие документы нужны для возврата денег?", "Перечень документов уточняйте в кабинете [кабинет бухгалтерии]."
"Можно ли вернуть деньги за полгода обучения?", "Да, при отчислении производится перерасчет оплаты."
"Как связаться с бухгалтерией по вопросу возврата?", "Звоните по телефону [телефон бухгалтерии] или приходите в [кабинет бухгалтерии]."
"Возвращают ли оплату за весь семестр?", "Возвращается сумма за неиспользованный период обучения."
"К кому обращаться по финансовым вопросам?", "По вопросам финансов обращайтесь к [главный бухгалтер] в кабинет [кабинет главного бухгалтера]."
"Как оформить возврат средств за обучение?", "Для оформления возврата обратитесь в бухгалтерию."
"Можно ли вернуть деньги через интернет?", "Нет, для возврата необходимо личное обращение в бухгалтерию."
"Какой телефон бухгалтерии для консультации?", "Телефон бухгалтерии: [телефон бухгалтерии]."
"Возвращаются ли средства при добровольном отчислении?", "Да, при любом виде отчисления производится перерасчет."
"Где находится бухгалтерия техникума?", "Бухгалтерия находится в кабинете [кабинет бухгалтерии]."
"Нужно ли писать заявление на возврат денег?", "Да, заявление оформляется в бухгалтерии."
"Как быстро производится возврат средств?", "Сроки возврата уточняйте у [главный бухгалтер] в кабинете [кабинет главного бухгалтера]."
"Можно ли получить консультацию по возврату онлайн?", "Напишите на почту [почта бухгалтерии] для консультации."
"Возвращается ли полная сумма за полгода?", "Возвращается сумма за неиспользованный период обучения."
"Кто подписывает документы на возврат?", "Документы подписывает [главный бухгалтер]."
"Какой график работы бухгалтерии?", "График работы уточняйте по телефону [телефон бухгалтерии]."
